Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
M3: multiplication cpu,	4,	0.000000201,	0.000000099,	2097152
M3: multiplication cpu,	4,	0.000000204,	0.000003589,	4194304
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
M3: multiplication cpu,	8,	0.000001653,	0.000000070,	2
M3: multiplication cpu,	8,	0.000001493,	0.000000047,	4
M3: multiplication cpu,	8,	0.000001472,	0.000000016,	8
M3: multiplication cpu,	8,	0.000001468,	0.000000018,	16
M3: multiplication cpu,	8,	0.000001445,	0.000000011,	32
M3: multiplication cpu,	8,	0.000001671,	0.000001612,	64
M3: multiplication cpu,	8,	0.000001468,	0.000000011,	128
M3: multiplication cpu,	8,	0.000001468,	0.000000011,	256
M3: multiplication cpu,	8,	0.000001439,	0.000000015,	512
M3: multiplication cpu,	8,	0.000001440,	0.000000016,	1024
M3: multiplication cpu,	8,	0.000001471,	0.000000113,	2048
M3: multiplication cpu,	8,	0.000001478,	0.000000202,	4096
M3: multiplication cpu,	8,	0.000001532,	0.000000210,	8192
M3: multiplication cpu,	8,	0.000001555,	0.000000425,	16384
M3: multiplication cpu,	8,	0.000001628,	0.000000231,	32768
M3: multiplication cpu,	8,	0.000001624,	0.000000369,	65536
M3: multiplication cpu,	8,	0.000001625,	0.000000212,	131072
M3: multiplication cpu,	8,	0.000001619,	0.000000213,	262144
M3: multiplication cpu,	8,	0.000001620,	0.000000269,	524288
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
M3: multiplication cpu,	16,	0.000015905,	0.000003752,	2
M3: multiplication cpu,	16,	0.000011855,	0.000000047,	4
M3: multiplication cpu,	16,	0.000011888,	0.000000044,	8
M3: multiplication cpu,	16,	0.000012609,	0.000002806,	16
M3: multiplication cpu,	16,	0.000011878,	0.000000034,	32
M3: multiplication cpu,	16,	0.000011676,	0.000000129,	64
M3: multiplication cpu,	16,	0.000011651,	0.000000058,	128
M3: multiplication cpu,	16,	0.000011946,	0.000002022,	256
M3: multiplication cpu,	16,	0.000011962,	0.000000396,	512
M3: multiplication cpu,	16,	0.000012586,	0.000002158,	1024
M3: multiplication cpu,	16,	0.000012672,	0.000000674,	2048
M3: multiplication cpu,	16,	0.000012738,	0.000000626,	4096
M3: multiplication cpu,	16,	0.000012651,	0.000000548,	8192
M3: multiplication cpu,	16,	0.000012700,	0.000000469,	16384
M3: multiplication cpu,	16,	0.000012702,	0.000000748,	32768
M3: multiplication cpu,	16,	0.000012931,	0.000000959,	65536
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
M3: multiplication cpu,	32,	0.000095848,	0.000000637,	2
M3: multiplication cpu,	32,	0.000098834,	0.000005546,	4
M3: multiplication cpu,	32,	0.000097059,	0.000003537,	8
M3: multiplication cpu,	32,	0.000092709,	0.000000252,	16
M3: multiplication cpu,	32,	0.000095598,	0.000004195,	32
M3: multiplication cpu,	32,	0.000095721,	0.000001665,	64
M3: multiplication cpu,	32,	0.000099415,	0.000002830,	128
M3: multiplication cpu,	32,	0.000101348,	0.000003012,	256
M3: multiplication cpu,	32,	0.000101691,	0.000002482,	512
M3: multiplication cpu,	32,	0.000101536,	0.000001715,	1024
M3: multiplication cpu,	32,	0.000101211,	0.000002186,	2048
